rowid,kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err,av_training_set
1,1162345,2,,0.83185,6.69E-05,132.227,3.52E-02,9.26E-01,1.47E+00,2.392,2.10E+01,6.09E+00,2.64E+00,2.95E+00,0.5099,7.94E-01,2.76E+03,6.37E+02,,,6510,207,4.07,0.26,1.728,0.791,AFP
2,1292087,2,,1.09524,1.01E-05,132.133,2.69E-03,2.56E-01,1.33E+01,2.122,4.76E-01,3.45E+01,4.43E+00,1.06E+01,0.8916,6.36E-01,2.31E+03,6.61E+02,,,6328,207,4.15,0.29,1.502,0.852,UNK
3,1293031,2,,0.719273,1.39E-05,132.227,2.79E-03,7.00E-01,1.10E+00,1.521,3.18E-01,2.97E+01,5.25E+00,8.30E+00,1.455,4.30E-01,3.33E+03,7.03E+02,,,6363,214,3.8,0.35,2.489,1.036,UNK
4,1162345,3,,0.831833,9.43E-06,131.919,2.21E-03,9.54E-02,5.18E+01,2.181,1.21E+00,2.71E+01,3.55E+00,1.20E+01,0.9062,8.49E-01,2.76E+03,6.37E+02,,,6510,207,4.07,0.26,1.728,0.791,AFP
5,1164109,1,,622.408,8.55E-03,162.256,9.84E-03,3.19E-03,2.19E+03,12.01,1.84E+00,1.61E+02,5.91E+01,3.72E+00,2.114,2.60E+00,3.02E+02,7.50E+01,,,6609,200,4.11,0.28,1.654,0.816,UNK
6,757450,1,,8.88492,1.19E-06,134.452,1.01E-04,5.68E-02,9.50E-01,2.078,2.40E-02,1.63E+04,3.95E+01,4.73E+02,10.57,1.54E-01,7.70E+02,2.76E+01,,,5332,102,4.5,0.04,0.843,0.051,PC
7,892667,1,,2.26211,2.73E-05,132.171,6.53E-03,3.00E-01,1.06E+01,7.509,5.20E+00,2.94E+01,3.40E+00,9.24E+00,0.9107,5.84E-01,1.96E+03,4.86E+02,,,6609,236,4.11,0.28,1.654,0.811,NTP
8,892772,1,,5.0926,3.14E-05,133.451,4.82E-03,3.00E-01,1.61E+01,3.399,2.43E-01,2.47E+02,1.74E+01,1.53E+01,1.16,1.73E+00,8.44E+02,7.86E+01,,,5037,197,4.55,0.12,0.751,0.127,AFP
9,1026032,1,,8.46044,3.82E-07,133.774,3.82E-05,9.83E-01,3.64E-02,4.804,2.01E-03,7.65E+04,3.26E+01,2.37E+03,32.09,2.05E+00,8.01E+02,1.04E+02,,,5923,191,4.64,0.18,0.704,0.178,UNK
10,1026032,2,,4.23022,7.33E-07,133.998,1.39E-04,9.99E-01,3.85E-02,4.606,6.93E-03,2.88E+04,9.39E+01,1.31E+03,20.58,2.11E+00,1.01E+03,1.32E+02,,,5923,191,4.64,0.18,0.704,0.178,UNK
11,1026133,2,,2.69191,2.13E-05,132.267,4.65E-03,2.05E-01,1.66E+01,5.53,1.30E+00,4.04E+01,3.79E+00,1.20E+01,1.043,6.46E-01,1.92E+03,5.46E+02,,,7003,299,4.15,0.32,1.617,0.909,UNK
12,1026133,1,,1.34629,2.25E-05,132.842,1.18E-02,9.95E-01,7.23E-03,1.626,2.71E-01,3.19E+01,3.69E+00,1.15E+01,1.364,4.93E-01,2.42E+03,6.88E+02,,,7003,299,4.15,0.32,1.617,0.909,UNK
13,1028018,1,,0.614378,9.73E-06,131.652,1.01E-03,2.90E-01,6.55E+00,1.448,2.51E-01,1.29E+02,1.62E+01,1.09E+01,1.554,6.71E-01,2.60E+03,5.47E+02,,,5930,170,4.14,0.26,1.353,0.565,UNK
14,1026957,1,,21.7613,1.00E-05,144.779,3.85E-04,3.18E-01,1.36E+00,1.277,3.74E-02,1.22E+03,1.40E+01,1.01E+02,2.492,3.68E-01,4.87E+02,2.07E+01,,,4859,105,4.61,0.06,0.723,0.053,AFP
15,1160891,1,,0.940463,2.62E-05,132.4,5.99E-03,7.12E-01,1.30E+00,3.354,2.66E+00,1.94E+01,5.41E+00,4.06E+00,0.8113,3.29E-01,2.47E+03,5.22E+02,,,5918,172,3.99,0.34,1.718,0.718,AFP
16,1160891,2,,0.940463,8.05E-06,131.66,3.44E-02,8.95E-01,5.23E-02,3.332,7.31E-01,1.11E+02,1.08E+01,1.52E+01,2.13,9.88E-02,2.47E+03,5.22E+02,,,5918,172,3.99,0.34,1.718,0.718,AFP
17,1160891,3,,0.94052,7.88E-06,132.025,1.62E-03,1.00E-01,2.94E+01,3.188,1.75E+00,7.96E+01,6.81E+00,1.84E+01,1.528,9.61E-01,2.47E+03,5.22E+02,,,5918,172,3.99,0.34,1.718,0.718,AFP
18,1162150,2,,0.778568,9.10E-06,131.662,2.05E-03,9.01E-01,6.78E-01,1.399,8.44E-01,7.19E+01,8.90E+00,1.12E+01,4.258,2.20E+00,4.46E+03,9.46E+02,,,7090,308,3.49,0.34,4.311,1.789,AFP
19,1162150,1,,0.778574,7.10E-06,131.98,1.48E-03,7.00E-01,9.96E-01,1.361,1.47E-01,9.48E+01,9.17E+00,1.44E+01,4.513,1.05E+00,4.46E+03,9.46E+02,,,7090,308,3.49,0.34,4.311,1.789,AFP
20,1161345,1,,4.28758,1.12E-06,133.434,1.52E-04,7.06E-01,2.77E-01,1.113,4.04E-02,8.91E+02,7.82E+00,1.38E+02,2.616,2.71E-01,9.40E+02,6.08E+01,,,5295,104,4.58,0.11,0.812,0.1,PC
21,1162150,3,,1.28453,2.59E-05,132.236,1.07E-02,9.10E-01,1.38E-01,4.175,2.66E+00,6.28E+01,6.32E+00,1.03E+01,3.996,5.04E-01,3.78E+03,8.01E+02,,,7090,308,3.49,0.34,4.311,1.789,UNK
22,1293031,1,,1.07861,1.27E-05,132.563,3.91E-03,5.00E-01,2.62E+00,3.461,1.36E+00,2.64E+01,3.37E+00,9.23E+00,1.32,4.47E-01,2.91E+03,6.14E+02,,,6363,214,3.8,0.35,2.489,1.036,UNK
23,1162345,1,,0.831777,1.14E-05,131.698,2.56E-03,8.74E-01,3.89E-01,2.349,1.75E+00,2.43E+01,3.46E+00,8.81E+00,0.9762,2.50E-01,2.76E+03,6.37E+02,,,6510,207,4.07,0.26,1.728,0.791,AFP
24,1292087,1,,0.547626,2.34E-05,131.888,4.09E-03,4.16E-01,5.77E+00,1.408,5.43E-01,1.41E+01,4.05E+00,5.22E+00,0.5786,3.34E-01,2.91E+03,8.32E+02,,,6328,207,4.15,0.29,1.502,0.852,NTP
25,1573174,2,,0.748347,7.79E-06,131.886,2.49E-03,6.44E-01,3.60E+00,2.897,4.17E+00,2.75E+02,2.35E+01,1.62E+01,3.445,2.26E+00,3.25E+03,8.25E+02,,,7159,330,4.04,0.29,1.96,0.979,AFP
