rowid,kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err,av_training_set
32,2019227,1,,2.98032,3.38E-05,132.415,6.65E-03,8.99E-01,1.82E-01,8.03,3.86E+00,2.31E+01,2.57E+00,8.97E+00,0.802,1.28E-01,1.63E+03,4.56E+02,,,6404,208,4.2,0.3,1.428,0.793,NTP
62,2721129,1,,550.335,1.09E-02,366.943,1.24E-02,1.17E-01,2.08E+01,11.28,2.18E+00,2.20E+03,3.75E+02,6.19E+00,3.143,2.54E+00,1.58E+02,9.40E+00,,,4620,175,4.58,0.05,0.699,0.064,UNK
63,2721129,2,,299.74,8.65E-03,305.118,2.45E-02,5.57E-01,4.20E+00,6.614,2.26E+00,1.50E+03,3.38E+02,4.78E+00,2.755,3.01E+00,1.94E+02,1.15E+01,,,4620,175,4.58,0.05,0.699,0.064,UNK
94,2439798,1,,459.313,1.16E-02,260.216,1.12E-02,6.95E-01,9.96E+00,2.587,2.31E+00,2.57E+02,5.44E+01,6.68E+00,2.647,6.93E+00,3.05E+02,8.86E+01,,,6253,188,4.17,0.32,1.545,0.892,NTP
131,1867630,1,,1.38953,6.46E-05,131.995,1.98E-02,7.88E-01,4.08E+00,6.144,4.50E+01,5.70E+00,1.51E+00,4.18E+00,0.3314,4.95E-01,2.01E+03,4.42E+02,,,6347,199,4.24,0.24,1.262,0.548,NTP
156,2578811,1,,6.20972,3.09E-05,135.254,3.70E-03,7.67E-01,6.49E-01,2.768,1.31E-01,4.22E+01,4.01E+00,1.10E+01,0.3444,9.59E-02,4.95E+02,7.93E+01,,,3685,139,4.76,0.13,0.485,0.151,NTP
238,2282763,1,,1.05344,4.84E-05,131.592,7.87E-03,9.04E-01,6.53E-01,3.19,8.01E+00,1.70E+01,8.01E+00,2.32E+00,1.576,8.89E-01,3.99E+03,7.24E+02,,,8014,318,3.72,0.3,3.274,1.16,NTP
239,2282763,2,,0.688266,1.16E-05,131.723,1.59E-03,6.95E-01,8.26E-01,1.598,2.70E-01,7.11E+01,1.08E+01,9.37E+00,2.96,6.12E-01,4.59E+03,8.34E+02,,,8014,318,3.72,0.3,3.274,1.16,NTP
240,2282763,3,,3.76167,2.35E-05,133.821,3.29E-03,8.52E-02,6.10E+01,2.766,1.79E-01,1.46E+02,2.31E+01,6.68E+00,4.002,3.71E+00,2.61E+03,4.73E+02,,,8014,318,3.72,0.3,3.274,1.16,NTP
245,2442084,1,,49.7886,3.67E-06,175.193,6.35E-05,6.99E-01,3.40E-02,7.398,3.29E-03,2.33E+05,1.50E+02,2.29E+03,31.84,1.17E+00,2.71E+02,1.42E+01,,,3894,96,4.71,0.06,0.541,0.05,AFP
246,2442084,2,,49.7886,3.56E-06,134.385,6.07E-05,8.88E-01,1.68E-01,3.776,1.08E-02,1.65E+05,2.00E+02,1.10E+03,32.5,7.08E+00,2.71E+02,1.42E+01,,,3894,96,4.71,0.06,0.541,0.05,AFP
247,2442118,1,,1.22148,9.62E-06,132.013,2.90E-03,8.57E-01,1.94E-01,3.905,1.53E+00,6.39E+00,5.31E-01,1.35E+01,0.9115,8.51E-02,4.21E+03,9.28E+02,,,9338,403,3.84,0.21,3.207,1.387,AFP
248,2442118,2,,1.22172,2.78E-05,132.725,2.68E-02,9.61E-01,4.58E-02,2.669,1.43E+00,4.55E+00,6.18E-01,7.31E+00,0.8319,7.23E-02,4.21E+03,9.28E+02,,,9338,403,3.84,0.21,3.207,1.387,AFP
274,1429589,1,,38.1688,6.93E-04,144.468,1.49E-02,8.68E-01,6.61E-01,6.769,1.11E+00,8.35E+01,9.96E+00,8.17E+00,1.534,6.66E-01,6.96E+02,1.70E+02,,,6164,191,4.12,0.26,1.465,0.708,PC
430,1996180,1,,3.02558,1.07E-05,134.368,2.22E-03,3.01E-01,7.54E+00,2.968,8.51E-02,1.27E+02,6.50E+00,2.14E+01,1.434,7.34E-01,1.48E+03,1.56E+02,,,6123,131,4.26,0.14,1.263,0.26,PC
437,2436421,1,,1.43767,1.20E-05,132.289,4.64E-03,4.74E-03,1.20E+03,5.431,6.94E+00,1.08E+02,1.22E+01,1.19E+01,2.481,2.45E+00,2.81E+03,5.38E+02,,,7115,332,3.91,0.23,2.365,0.879,UNK
476,1996180,2,,5.42204,3.57E-05,133.459,4.82E-03,7.61E-01,1.63E+00,2.817,2.68E-01,9.31E+01,9.19E+00,1.06E+01,1.329,7.74E-01,1.22E+03,1.28E+02,,,6123,131,4.26,0.14,1.263,0.26,PC
495,2446113,1,,6.71724,1.07E-05,137.414,1.18E-03,9.14E-01,6.42E-02,2.71,1.93E-01,3.76E+02,8.57E+00,4.60E+01,3.912,2.76E-01,1.26E+03,1.67E+02,,,6078,130,4.09,0.17,1.683,0.438,AFP
